email,request_epoch,response_epoch,latency_s,status_code,outcome,error
fig2+3330bd815f-n10-r1-seat001@example.invalid,1788391126.966068,1788391127.569996,0.6039280891418457,303,claimed,
fig2+3330bd815f-n10-r1-seat002@example.invalid,1788391126.966219,1788391127.565312,0.599092960357666,303,claimed,
fig2+3330bd815f-n10-r1-seat003@example.invalid,1788391126.9663382,1788391127.565073,0.5987348556518555,303,claimed,
fig2+3330bd815f-n10-r1-seat004@example.invalid,1788391126.9663832,1788391127.561153,0.5947697162628174,303,claimed,
fig2+3330bd815f-n10-r1-seat005@example.invalid,1788391126.96618,1788391127.5579798,0.5917997360229492,303,claimed,
fig2+3330bd815f-n10-r1-seat006@example.invalid,1788391126.9663,1788391127.5607839,0.5944838523864746,303,claimed,
fig2+3330bd815f-n10-r1-seat007@example.invalid,1788391126.96636,1788391127.5719569,0.6055967807769775,303,claimed,
fig2+3330bd815f-n10-r1-seat008@example.invalid,1788391126.9664042,1788391127.571656,0.6052517890930176,303,claimed,
fig2+3330bd815f-n10-r1-seat009@example.invalid,1788391126.9664361,1788391127.558549,0.5921127796173096,303,claimed,
fig2+3330bd815f-n10-r1-seat010@example.invalid,1788391126.966511,1788391127.561434,0.5949230194091797,303,claimed,
